Program,Core,T1 Pop,T2 Pop,T3 Pop
BCOM,1,25,39,11
PCOM,1,210,133,64
PM,0,102,73,12
BA,0,74,63,31
GLM,0,41,18,12
DXD,0,0,5,0
FS,0,18,13,8
BK,0,0,0,0
